SL,Height,Weight,Sex
1,67.01894966,175.9294404,Male
2,63.45649398,156.3996764,Male
3,71.19538228,186.6049256,Male
4,71.64080512,213.7411695,Male
5,64.76632913,167.1274611,Male
6,69.2830701,189.4461814,Male
7,72.0881801,219.2966012,Male
8,69.25077579,176.2517449,Male
9,66.70032038,164.0342193,Male
10,68.07461976,176.9774255,Male
11,63.41516589,156.1292328,Male
12,67.42751473,177.1153317,Male
13,70.50979425,191.3571188,Male
14,68.66359393,184.2627962,Male
15,67.12613559,170.043605,Male
16,69.51460351,174.2150014,Male
17,59.93864965,141.4595789,Male
18,68.1440328,192.3439766,Male
19,69.08963143,184.4351744,Male
20,72.80084352,206.8281894,Male
21,64.7054369,146.8487122,Female
22,60.68084562,113.6420604,Female
23,63.78490948,140.4107411,Female
24,60.85835314,117.6964919,Female
25,64.85997324,140.784838,Female
26,65.80002802,151.5569464,Female
27,62.63300531,127.5366647,Female
28,63.38666031,114.5045608,Female
29,62.57349183,120.5834448,Female
30,70.66430035,162.2815552,Female
31,66.21731487,143.0425668,Female
32,61.51138323,135.0515804,Female
33,62.78104805,135.6287906,Female
34,61.94552329,110.6571421,Female
35,66.2048299,137.1648794,Female
36,63.7848706,134.2283713,Female
37,63.12804299,136.5928005,Female
38,63.88944361,144.3759678,Female
39,66.83723037,152.9198208,Female
40,66.05547263,150.9956725,Female
